trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,11,-33.482018479317965,"{0: 4, 1: 2, 2: 3, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-157.04263875239405,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-134.26282562111032,"{0: 16, 1: 6, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-118.37223916334572,"{0: 13, 1: 7, 2: 2, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-53.47022738786401,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-111.26627538038404,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-160.13421670388132,"{0: 20, 1: 3, 2: 3, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-168.09518726335008,"{0: 7, 1: 13, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-39.35146512964924,"{0: 21, 1: 6, 2: 2, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-78.49321680754348,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,1,-80.45194230169741,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-147.25279947316835,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-93.11084544902198,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-40.06287545774244,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-24.06042780715474,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-126.43109262245672,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,4.707331163780406,"{0: 26, 1: 3, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",35,0,4.493921404723915,"{0: 32, 1: 1, 2: 1, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,19,-29.68696056670281,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,1,-13.831122811798329,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,-95.95612760305923,"{0: 21, 1: 0, 2: 0, 3: 2, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,4,-39.52292119586444,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",20,0,-83.66466427669111,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",30,13,15.48714335475698,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,0,11.49193582822842,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,9,24.323752575465896,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,3,-50.191387422512335,"{0: 19, 1: 0, 2: 0, 3: 2, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",20,12,-5.769037377801954,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,0,-5.847567075476393,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-30.086633539363454,"{0: 16, 1: 2, 2: 0, 3: 2, 4: 0}",0
