trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.005, 'e': 1.0}",20,0,-81.5818662324251,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
2,False,"{'a': 0.005, 'e': 0.9950124791926823}",25,0,-110.5318368333644,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
3,False,"{'a': 0.005, 'e': 0.9900498337491681}",20,0,-43.32717900263372,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
4,False,"{'a': 0.005, 'e': 0.9851119396030626}",20,0,-75.6846937984336,"{0: 13, 1: 2, 2: 2, 3: 3, 4: 0}",0
5,False,"{'a': 0.005, 'e': 0.9801986733067553}",25,0,-169.9308577436563,"{0: 11, 1: 4, 2: 8, 3: 0, 4: 2}",0
6,False,"{'a': 0.005, 'e': 0.9753099120283326}",20,0,-108.7042245761105,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",1
7,False,"{'a': 0.005, 'e': 0.9704455335485082}",25,0,-149.50209233845354,"{0: 11, 1: 8, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.005, 'e': 0.9656054162575665}",20,0,-155.13923304284734,"{0: 8, 1: 3, 2: 7, 3: 0, 4: 2}",0
9,False,"{'a': 0.005, 'e': 0.9607894391523232}",20,0,-142.3172562356742,"{0: 10, 1: 6, 2: 1, 3: 0, 4: 3}",0
10,False,"{'a': 0.005, 'e': 0.9559974818331}",30,0,-232.35171681510477,"{0: 16, 1: 4, 2: 5, 3: 1, 4: 4}",0
11,False,"{'a': 0.005, 'e': 0.951229424500714}",20,0,-91.21974526873446,"{0: 8, 1: 4, 2: 8, 3: 0, 4: 0}",0
12,False,"{'a': 0.005, 'e': 0.9464851479534838}",20,0,-123.62224882610165,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.005, 'e': 0.9417645335842487}",20,0,-78.17664730866265,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.005, 'e': 0.9370674633774034}",25,0,-113.12972424591456,"{0: 13, 1: 6, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.005, 'e': 0.9323938199059483}",20,0,-49.12828534616365,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
16,False,"{'a': 0.005, 'e': 0.9277434863285529}",20,0,-48.06380544366692,"{0: 12, 1: 6, 2: 1, 3: 1, 4: 0}",0
17,False,"{'a': 0.005, 'e': 0.9231163463866358}",20,0,-132.98352323897592,"{0: 12, 1: 5, 2: 0, 3: 0, 4: 3}",0
18,False,"{'a': 0.005, 'e': 0.9185122844014574}",25,0,-78.8953187090079,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
19,False,"{'a': 0.005, 'e': 0.9139311852712282}",25,0,-162.8695465931473,"{0: 9, 1: 7, 2: 6, 3: 2, 4: 1}",0
20,False,"{'a': 0.005, 'e': 0.9093729344682314}",20,0,-40.95753645367875,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
21,False,"{'a': 0.005, 'e': 0.9048374180359595}",20,0,-165.70982289462773,"{0: 6, 1: 7, 2: 4, 3: 1, 4: 2}",0
22,False,"{'a': 0.005, 'e': 0.9003245225862656}",25,0,-26.49774113536536,"{0: 16, 1: 7, 2: 2, 3: 0, 4: 0}",0
23,False,"{'a': 0.005, 'e': 0.8958341352965282}",25,0,-69.80118980095563,"{0: 15, 1: 6, 2: 2, 3: 2, 4: 0}",0
