trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.13274155650545,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.95500122975523,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,17,-8.608617722422528,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-184.11785810434955,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-183.34762628732696,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.89294740580769,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-163.47074901105051,"{0: 15, 1: 6, 2: 7, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.08064916004535,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-77.87645771080803,"{0: 21, 1: 3, 2: 4, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.46061054806829,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-164.1996420688253,"{0: 20, 1: 1, 2: 6, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-158.31275610243165,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.91524686016547,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-39.66003949634976,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,14,-15.194225768362973,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-116.28450956931403,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-53.475161934674986,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-178.5733482279138,"{0: 8, 1: 1, 2: 8, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-52.436253069108226,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-175.08874607883644,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-185.24570850578803,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-114.50676824044524,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-88.5635079933273,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-29.542858328242716,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-92.43002138617669,"{0: 18, 1: 4, 2: 6, 3: 2, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-155.73058627394133,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-61.650294502132034,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",35,0,-146.6881146849994,"{0: 24, 1: 3, 2: 4, 3: 2, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-123.6129420809056,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-105.78570638784174,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
